nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE964972815867,ABR934127092498,Solareinheit,Groß Vollstedt,Volleinspeisung,16808.04,24802,Rendsburg-Eckernförde,Groß Vollstedt,NA,NA,Schleswig-Holstein,9.852953,54.222594,2024,NA,FALSE,Freiflächensolaranlage,31023,NA,NA
SEE940346897370,ABR945326269109,Solareinheit,Solarpark Riedenheim,Volleinspeisung,10022.4,97283,Würzburg,Riedenheim,NA,NA,Bayern,9.96136,49.568361,2025,NA,FALSE,Freiflächensolaranlage,17280,NA,NA
SEE907392755665,ABR943969523183,Solareinheit,PVA Deponie 1 Jänschwalde Nord,Volleinspeisung,14554.11,03149,Spree-Neiße,Wiesengrund,NA,NA,Brandenburg,14.524333,51.770894,2024,NA,FALSE,Freiflächensolaranlage,24926,NA,NA
SEE933131502238,ABR912191079669,Solareinheit,PV Peres West I_B,Teileinspeisung (einschließlich Eigenverbrauch),14812,04539,Leipzig,Groitzsch,NA,NA,Sachsen,12.323311,51.166872,2024,NA,FALSE,Freiflächensolaranlage,25344,NA,NA
SEE906490181826,ABR912191079669,Solareinheit,PV Peres West I_C,Teileinspeisung (einschließlich Eigenverbrauch),17100.5,04539,Leipzig,Groitzsch,NA,NA,Sachsen,12.323311,51.166872,2024,NA,FALSE,Freiflächensolaranlage,29232,NA,NA
SEE988747193264,ABR956080114277,Solareinheit,SE_2024_3617_Reisbach,Volleinspeisung,24001.03,66793,Saarlouis,Saarwellingen,Waldstraße,NA,Saarland,6.898564,49.371275,2024,NA,FALSE,Freiflächensolaranlage,39618,NA,NA
SEE934922800755,ABR938933890415,Solareinheit,SP Rottweil,Volleinspeisung,12486.24,78628,Rottweil,Rottweil,NA,NA,Baden-Württemberg,8.549467,48.201737,2025,NA,FALSE,Freiflächensolaranlage,21528,NA,NA
SEE974301472920,ABR952050950791,Solareinheit,Vattenfall Solar Silberstedt GmbH,Volleinspeisung,24027.3,24887,Schleswig-Flensburg,Silberstedt,Zum Berghof,bei 99,Schleswig-Holstein,9.3679,54.5667,2025,NA,FALSE,Freiflächensolaranlage,43686,NA,NA
SEE954810016815,ABR935329428009,Solareinheit,PVA Görlsdorf,Volleinspeisung,20000,15306,Märkisch-Oderland,Vierlinden,NA,NA,Brandenburg,14.309134,52.537827,2024,NA,FALSE,Freiflächensolaranlage,42336,NA,NA
SEE955014096832,ABR970279225391,Solareinheit,PVA Schmidthachenbach,Volleinspeisung,19750,55758,Birkenfeld,Schmidthachenbach,NA,NA,Rheinland-Pfalz,7.469068,49.72229,2026,NA,FALSE,Freiflächensolaranlage,NA,NA,NA
SEE972351724808,ABR948507322648,Solareinheit,Solarpark Somborn,Volleinspeisung,20897,63579,Main-Kinzig-Kreis,Freigericht,NA,NA,Hessen,9.100471,50.127109,2024,NA,FALSE,Freiflächensolaranlage,35906,NA,NA
SEE978502464999,ABR953512966091,Solareinheit,Freifläche-PV-Nord,Teileinspeisung (einschließlich Eigenverbrauch),13426.95,90411,Nürnberg,Nürnberg,Flughafenstraße,100,Bayern,11.080161,49.500049,2025,NA,FALSE,Freiflächensolaranlage,22854,NA,NA
SEE954348472350,ABR993546236708,Solareinheit,Solarpark Schadewohl,Volleinspeisung,65459,29413,Altmarkkreis Salzwedel,Wallstawe,NA,NA,Sachsen-Anhalt,10.846792,52.760639,2025,NA,FALSE,Freiflächensolaranlage,92771,NA,NA
SEE991863034984,ABR912026099350,Solareinheit,Solarpark Jerchel West - Teilanlage 1,Volleinspeisung,19999.65,14715,Havelland,Milower Land,NA,NA,Brandenburg,12.32319,52.48006,2024,NA,FALSE,Freiflächensolaranlage,36363,NA,NA
SEE985300640159,ABR912026099350,Solareinheit,Solarpark Jerchel West - Teilanlage 4,Volleinspeisung,18654.9,14715,Havelland,Milower Land,NA,NA,Brandenburg,12.33354,52.47977,2024,NA,FALSE,Freiflächensolaranlage,33918,NA,NA
SEE991177884770,ABR955742135971,Solareinheit,E.ON Solarpark Giengen GmbH ＆ Co. KG,Volleinspeisung,11075.13,89537,Heidenheim,Giengen,NA,NA,Baden-Württemberg,10.190293,48.594333,2024,NA,FALSE,Freiflächensolaranlage,18306,NA,NA
SEE967639946355,ABR945500850147,Solareinheit,Briedel,Volleinspeisung,37941.75,56867,Cochem-Zell,Briedel,NA,NA,Rheinland-Pfalz,7.135622,50.027343,2024,NA,FALSE,Freiflächensolaranlage,68985,NA,NA
SEE997259596739,ABR984613004900,Solareinheit,Solarpark Königsberg - 16.964 kWp,Volleinspeisung,16964.1,97486,Haßberge,Königsberg,NA,NA,Bayern,10.583521,50.079059,2024,NA,FALSE,Freiflächensolaranlage,27810,NA,NA
SEE972704160963,ABR930295409007,Solareinheit,PVA Georgental 3 Falkenhagen Solar UW Sieversdorf,Volleinspeisung,24811,15306,Märkisch-Oderland,Falkenhagen,NA,NA,Brandenburg,14.296291,52.408318,2024,NA,FALSE,Freiflächensolaranlage,42380,NA,NA
SEE991997412856,ABR960178416136,Solareinheit,PV-Freilandanlage Deiderode,Volleinspeisung,31556.32,37133,Göttingen,Friedland,Auf dem Mittelberge,NA,Niedersachsen,9.875147,51.433302,2024,NA,FALSE,Freiflächensolaranlage,45804,NA,NA
SEE949611069429,ABR911073692200,Solareinheit,PV Schönau,Volleinspeisung,20000,08134,Zwickau,Wildenfels,NA,NA,Sachsen,12.575573,50.660495,2025,NA,FALSE,Freiflächensolaranlage,36363,NA,NA
SEE989458955455,ABR997481012212,Solareinheit,FFA Osterhagen,Volleinspeisung,10657.68,37431,Göttingen,Bad Lauterberg,NA,NA,Niedersachsen,10.491871,51.595435,2024,NA,FALSE,Freiflächensolaranlage,17616,NA,NA
SEE986617025875,ABR954649590876,Solareinheit,Bretzingen FL SOLAR,Volleinspeisung,10077.48,74736,Neckar-Odenwald-Kreis,Hardheim,NA,NA,Baden-Württemberg,9.47047,49.574824,2025,NA,FALSE,Freiflächensolaranlage,15624,NA,NA
SEE911507967362,ABR926751345859,Solareinheit,Bürgersolarpark Niederelsungen_System B2 B3,Teileinspeisung (einschließlich Eigenverbrauch),39386,34466,Kassel,Wolfhagen,NA,NA,Hessen,9.203126,51.394692,2024,NA,FALSE,Freiflächensolaranlage,65100,NA,NA
SEE966551989013,ABR926751345859,Solareinheit,Bürgersolarpark Niederelsungen_System B1,Volleinspeisung,21316,34466,Kassel,Wolfhagen,NA,NA,Hessen,9.199296,51.393681,2024,NA,FALSE,Freiflächensolaranlage,35160,NA,NA
SEE922276934516,ABR926751345859,Solareinheit,Bürgersolarpark Niederelsungen_System A1 A2_,Volleinspeisung,36610,34466,Kassel,Wolfhagen,NA,NA,Hessen,9.202672,51.397022,2024,NA,FALSE,Freiflächensolaranlage,60360,NA,NA
SEE915248904327,ABR904858237413,Solareinheit,sAlb1 - Berching-Altmannsberg 1,Volleinspeisung,19900.755,92334,Neumarkt i.d. OPf.,Berching,NA,NA,Bayern,11.485900000000001,49.11283,2025,NA,FALSE,Freiflächensolaranlage,33318,NA,NA
SEE935211376197,ABR969128945924,Solareinheit,NE Petershagen Nord II,Volleinspeisung,18999.06,15326,Märkisch-Oderland,Zeschdorf,NA,NA,Brandenburg,14.340255,52.410034,2025,NA,FALSE,Freiflächensolaranlage,32757,NA,NA
