nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE968458734758,Vianden M8,RWE Generation SE,Pumpspeicher,NA,100,100,1963,TeileinspeisungEigenverbrauch,9463,Stolzembourg,Rue de l'Energie,2,NA,FALSE,NA,NA
SEE929161243203,Staudinger 5,Uniper Kraftwerke GmbH,Steinkohle,Steinkohlen,550,522,1992,Volleinspeisung,63538,Großkrotzenburg,Hanauer Landstraße,150,Hessen,FALSE,NA,other
SEE929182899328,Prüfstände Brühl 3/52,Daimler Truck AG,Mineraloelprodukte,Dieselkraftstoff,20.758,20.758,2019,TeileinspeisungEigenverbrauch,73733,Esslingen,Palmenwaldstraße,27,BadenWuerttemberg,FALSE,NA,NA
SEE931704712701,BESS Balzhausen 2 green flexibility,green flexibility BESS Balzhausen 2 GmbH,Batteriespeicher,NA,38.3,38.3,2026,Volleinspeisung,86483,Balzhausen,NA,NA,Bayern,FALSE,NA,NA
SEE932657881513,KWK-Anlage Gasturbine 1,Delkeskamp Verpackungswerke GmbH,Erdgas,ErdgasErdoelgas,4.96,4.811,1996,TeileinspeisungEigenverbrauch,49638,Nortrup,Hauptstraße,15,Niedersachsen,TRUE,2022,other
SEE937617144974,IN_N19_KWKK_GT1,AUDI,Erdgas,ErdgasErdoelgas,5.1,4.985,1998,TeileinspeisungEigenverbrauch,85057,Ingolstadt,Ettinger Straße,105,Bayern,FALSE,NA,NA
SEE953266686481,T2,SWN Stadtwerke Neumünster GmbH,Steinkohle,Steinkohlen,12.8,9.545,1982,TeileinspeisungEigenverbrauch,24534,Neumünster,Bismarckstraße,51,SchleswigHolstein,FALSE,NA,other
SEE956906670420,BMHKW Bergkamen,E.ON Energy Solutions GmbH,Biomasse,NA,20,18.472,2005,TeileinspeisungEigenverbrauch,59192,Bergkamen,Ernst-Schering-Straße,8,NordrheinWestfalen,FALSE,NA,NA
SEE922473273890,WKW Säckingen M4,EnBW Energie Baden-Württemberg AG,Wasser,NA,23,23,1966,TeileinspeisungEigenverbrauch,79713,Bad Säckingen,Murger Weg,2,BadenWuerttemberg,FALSE,NA,NA
SEE961706754454,Kraftwerk Jochenstein MS4,Donaukraftwerk Jochenstein AG,Wasser,NA,26.4,26.4,1956,Volleinspeisung,94107,Untergriesbach,Am Kraftwerk,2,Bayern,FALSE,NA,NA
SEE964447287038,HKW Gasturbine 2,Stadtwerke Greifswald GmbH,Erdgas,ErdgasErdoelgas,4.949,4.894,1996,Volleinspeisung,17489,Greifswald,An der Jungfernwiese,8,MecklenburgVorpommern,FALSE,NA,NA
SEE965551192713,HKW Linden GT3,enercity AG,Erdgas,ErdgasErdoelgas,70.25,70,2009,TeileinspeisungEigenverbrauch,30449,Hannover,Spinnereistraße,9,Niedersachsen,FALSE,NA,NA
SEE966844914388,Großkayna GT1,envia THERM GmbH,Mineraloelprodukte,HeizoelLeicht,45.625,45.625,1994,Volleinspeisung,06242,Großkayna,Werkstraße,1,SachsenAnhalt,FALSE,NA,NA
SEE968493660913,Kraftwerk Wasserburg MS4 20 kV,VERBUND Innkraftwerke GmbH,Wasser,NA,4.82,4.82,1938,Volleinspeisung,83512,Wasserburg,Innwerkstraße,15,Bayern,FALSE,NA,NA
SEE972034775981,Biomass Heizkraftwerk Recklinghausen,Ökotech Ing.Ges.mbH,Biomasse,NA,20,18,2004,Volleinspeisung,45665,Recklinghausen,NA,NA,NordrheinWestfalen,FALSE,NA,NA
SEE976362409624,BES GRO,BES Groitzsch GmbH& Co. KG,Batteriespeicher,NA,17.25,16.425,2019,Volleinspeisung,04539,Groitzsch,Luckaer Straße,29 z,Sachsen,FALSE,NA,NA
SEE930267705700,WKW Rudolf-Fettweis-Werk PSW Schwarzenbach M6,EnBW Energie Baden-Württemberg AG,Pumpspeicher,NA,21.7,21.5,1926,TeileinspeisungEigenverbrauch,76596,Forbach,Werkstraße,5,BadenWuerttemberg,FALSE,NA,NA
SEE930673793902,Bergkamen A,STEAG Power GmbH,Steinkohle,Steinkohlen,780,720,1981,TeileinspeisungEigenverbrauch,59192,Bergkamen,Westenhellweg,111,NordrheinWestfalen,FALSE,NA,reserve
SEE933361522259,Kraftwerk Marbach MAR 4,EnBW Energie Baden-Württemberg AG,Mineraloelprodukte,HeizoelLeicht,310,306.5,2024,Volleinspeisung,71672,Marbach,Thomas-Alva-Edison-Ring,6,BadenWuerttemberg,FALSE,NA,reserve
SEE937685363109,Eitting E F1,Uniper Kraftwerke GmbH,Wasser,NA,9,9,1925,Volleinspeisung,85462,Eitting,Am Moosrain,10,Bayern,FALSE,NA,NA
SEE943021591570,Kraftwerk Wasserburg MS2 20 kV,VERBUND Innkraftwerke GmbH,Wasser,NA,4.82,4.82,1938,Volleinspeisung,83512,Wasserburg,Innwerkstraße,15,Bayern,FALSE,NA,NA
SEE946583344691,KWK 6,BMW AG,Erdgas,ErdgasErdoelgas,4.5,4.5,2019,TeileinspeisungEigenverbrauch,84130,Dingolfing,Karl-Dompert-Straße,7,Bayern,FALSE,NA,NA
SEE951160693116,Gasmotor 5 Jena,TEAG Thüringer Energie AG,Erdgas,ErdgasErdoelgas,12.616,12.175,2022,Volleinspeisung,07745,Jena,Rudolstädter Straße,41,Thueringen,FALSE,NA,NA
